32,5
33,4
34,8
35,8
36,8
37,8
38,10
39,3
40,5
41,5
42,8
43,8
44,3
45,8
46,3
47,8
48,8
49,8
50,8
51,8
52,8
53,8
54,8
55,8
56,8
57,8
58,3
59,3
60,8
61,8
62,8
63,7
64,11
65,10
66,10
67,11
68,10
69,9
70,9
71,11
72,10
73,4
74,9
75,10
76,9
77,12
78,10
79,11
80,10
81,11
82,10
83,10
84,9
85,10
86,10
87,12
88,10
89,9
90,9
91,5
92,8
93,5
94,7
95,5
96,7
97,8
98,8
99,8
100,8
101,8
102,5
103,7
104,8
105,3
106,4
107,7
108,3
109,12
110,8
111,8
112,8
113,8
114,6
115,7
116,6
117,8
118,8
119,10
120,7
121,8
122,7
123,4
124,4
125,4
126,7
127,7
128,7
129,7
130,7
131,7
132,7
133,7
134,7
135,7
136,7
137,7
138,7
139,7
140,7
141,7
142,7
143,7
144,7
145,7
146,7
147,7
148,7
149,7
150,7
151,7
152,7
153,7
154,7
155,7
156,7
157,7
158,7
159,7
160,8
161,7
162,7
163,7
164,7
165,7
166,9
167,8
168,7
169,8
170,8
171,8
172,8
173,8
174,7
175,8
176,10
177,10
178,9
179,10
180,10
181,10
182,9
183,10
184,9
185,10
186,9
187,11
188,9
189,10
190,10
191,9
192,9
193,10
194,10
195,10
196,7
197,10
198,10
199,9
200,10
201,8
202,10
203,8
204,9
205,10
206,10
207,10
208,7
209,11
210,8
211,10
212,11
213,10
214,8
215,9
216,8
217,11
218,9
219,9
220,9
221,9
222,4
223,4
224,7
225,7
226,7
227,7
228,7
229,7
230,7
231,7
232,7
233,7
234,7
235,7
236,7
237,7
238,7
239,7
240,7
241,7
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,7
250,7
251,7
252,7
253,8
254,8
255,8
33088,11
33089,11
33090,11
33091,11
33092,11
33093,8
33094,8
33095,8
33096,16
33097,16
33098,8
33099,8
33100,8
33101,8
33102,8
33103,8
33104,16
33105,16
33106,12
33107,12
33108,12
33109,11
33110,16
33111,16
33112,16
33113,16
33114,16
33115,15
33116,16
33117,8
33118,16
33119,16
33120,16
33121,16
33122,16
33123,16
33124,16
33125,8
33126,8
33127,8
33128,8
33129,8
33130,8
33131,8
33132,8
33133,8
33134,8
33135,8
33136,8
33137,8
33138,8
33139,8
33140,8
33141,8
